Pirgua|EL RUBI|SAN ROQUE|EL ARRAYAN
Runta|LOS ENCENILLOS||LOS ENCENILLOS
La Hoya|EL RAQUE|EL ARRABAL|EL RECUERDO
La Hoya|EL RAQUE|EL ARRABAL|SANTAFE
La Hoya|LA HOYA|EL RAQUE|EL JARDIN
La Hoya|LA HOYA|EL RAQUE|ALTAMIRA
La Hoya|LA HOYA|EL ARRABAL|EL RECREO
La Hoya||LA HOYA|LA VEGA
La Hoya|LA HOYA||CA
La Hoya|LA HOYA||LA ESPERANZA 2
La Hoya||EL ARRABAL|GARAVATOS
La Hoya|EL ARRABAL|EL ARRABAL|LA PALMA
La Hoya|LA HOYA||SAN LAZARO
La Hoya|SAN CAYETANO|EL ARRABAL|EL BOSQUE
La Hoya||SAN CAYETANO|XXXX
La Hoya|EL RAQUE|EL ARRABAL|LA PLAYITA
La Hoya|EL CEDRO EL ALISO||SANTA CLARA
La Hoya||EL CEDRO EL ALISO|EL SALITRE
La Hoya|LAS MERCEDES|EL MIRADOR|LAS MERCEDES
La Hoya|EL MIRADOR|LAS MERCEDES|LA CASCAJERA
La Hoya|EL TRIUNFO|LA GALLERA|EL TRIUNFO
La Hoya||LOS ALISOS|SAN LUIS
La Hoya|XXX|PTE DE BOYACA|XXX
La Hoya|EL MORTINO|LT 2A|LC
La Hoya||EL MANANTIAL|LC 9
La Hoya|EL ALTO DEL MUERTO|MONSERRATE|PANTANO VERDE
La Hoya|LA HOYA|EL ARRABAL|LA HOYA
La Hoya|LA HOYA|EL ARRABAL|EL ARRAYAN
La Hoya|EL ARRABAL|EL ARRABAL|APOSENTOS
Runta Parte Alta||VILLA NATIVIDAD|LA ILUSION
Runta Parte Alta|VILLA NATIVIDAD|TERRENO|LOMA ALTA
Runta Parte Alta|TERRENO||PIEDRA BLANCA
Baron Gallero|COREA|LA PI|EL CEREZO
Baron Gallero||COREA|LA VENTA DEL AIRE
Baron Gallero|COREA|LA PI|EL CHARQUITO
Baron Gallero|EL EDEN|LLANITO|LA LAGUNA
Baron Gallero|LLANITO|EL ARRABAL|SANTA MARIA
Porvenir|LT 13 MZ 2||LT 13 MZ 2
La Cabaña-Runta|||TERRENO
La Cabaña-Runta|||LC DE TERRENO
Runta|EL CAMPAMENTO VD RUNTA|EL ARRABAL|SANTA ISABEL
Runta|EL CAMPAMENTO VD RUNTA|EL ARRABAL|LC 6
Runta|EL CAMPAMENTO VD RUNTA||SANTA ELENA
Runta|EL CAMPAMENTO VD RUNTA||EL CARMEN
Runta|EL CAMPAMENTO VD RUNTA|EL LLANO|LA FALDA DEL RIO
Runta|EL LLANO||EL LLANO
La Hoya|LA HOYA||EL CEREZO
Runta|EL LAURELITO|CONSUELO|MJ CA
Runta||CA VADA RUNTA|KR 13 20 270 S
Runta|EL NARANJO||MORTINO
Runta|EL NARANJO||LA CANADA
Runta|EL NARANJO||EL CEDRO
Runta|KR 14 20 540 S|LA UNION|KR 14 20 540 S
Runta||CA VADA RUNTA|KR 13 20 329 S
Runta|KR 14 20 30 S|BTS 10E036|KR 14 20 30 S
Runta Parte Alta|EL ALTO DEL MORAL|EL MORAL|SAN DIEGO
Runta Parte Alta|EL ALTO DEL MORAL|EL MORAL|SANTA MARTHA
Runta||KR 12 14 164 S|KR 11 18 200 S
Runta||KR 14 20 470 S|KR 13 20 14 S
